S.No.	Organization	Problem Statement Title	Category	PS Number	Submitted Idea(s) Count	Theme
42	Government of NCT of Delhi	Drug Inventory and supply chain Tracking system	Software	SIH1627	0	MedTech / BioTech / HealthTech

43	Government of Punjab	Smart Competency Diagnostic and Candidate Profile Score Calculator	Software	SIH1628	0	Smart Education

44	Government of Punjab	Freelancing Platform	Software	SIH1629	0	Smart Education

45	Government of Punjab	Mentor Connect	Software	SIH1630	0	Smart Education

46	Government of Rajasthan	AI-Powered Student Assistance Chatbot for Department of Technical Education, Government of Rajasthan.	Software	SIH1631	0	Smart Education

47	Government of Rajasthan	An Interactive Job and Internship Platform for Technical Education Department, Govt. of Rajasthan	Software	SIH1632	0	Smart Education

48	Government of Rajasthan	Intelligent platform to Interconnect Alumni and Student for Technical Education Department, Govt. of Rajasthan	Software	SIH1633	0	Smart Education

49	Ministry of Agriculture and Farmers Welfare	Mobile App for Direct Market Access for Farmers	Software	SIH1637	0	Agriculture, FoodTech & Rural Development

50	Ministry of Agriculture and Farmers Welfare	AI-Driven Crop Disease Prediction and Management System	Software	SIH1638	0	Agriculture, FoodTech & Rural Development

51	Ministry of Agriculture and Farmers Welfare	Sustainable Fertilizer Usage Optimizer for Higher Yield	Software	SIH1639	0	Agriculture, FoodTech & Rural Development

52	Ministry of Agriculture and Farmers Welfare	Assured Contract Farming System for Stable Market Access	Software	SIH1640	0	Agriculture, FoodTech & Rural Development

53	Ministry of AYUSH	create an Annual Report Portal for institute where all the departmental reports can be integrated and customized	Software	SIH1641	0	Smart Education

54	Ministry of AYUSH	A comprehensive AYUSH Startup Registration Portal to streamline the registration process for startups in the AYUSH sector, enhancing efficiency, transparency, and accessibility.	Software	SIH1642	0	MedTech / BioTech / HealthTech

55	Ministry of AYUSH	Portal for innovation Excellence Indicators	Software	SIH1643	0	Smart Education

56	Ministry of Coal	A web application specifically designed for Indian coal mines to quantify their carbon footprint and explore pathways to carbon neutrality.	Software	SIH1644	0	Renewable / Sustainable Energy

57	Ministry of Coal	An app and web based software for Productivity and safety management of coal mines.	Software	SIH1645	0	Smart Automation

58	Ministry of Coal	App based Project monitoring of S&T/ R&D Projects of Coal Sector	Software	SIH1646	0	Smart Automation

59	Ministry of Consumer Affairs, Food and Public Distribution	Development of AI-ML based models for predicting prices of agri-horticultural commodities such as pulses and vegetable (onion, potato, onion)	Software	SIH1647	0	Agriculture, FoodTech & Rural Development

60	Ministry of Culture	Online Chatbot based ticketing system	Software	SIH1648	0	Travel & Tourism

61	Ministry of Defence	DDoS Protection System for Cloud: Architecture and Tool	Software	SIH1649	0	Blockchain & Cybersecurity

62	Ministry of Defence	Early Warning System for Glacial Lake Outburst Floods (GLOFs)	Software	SIH1650	0	Disaster Management

63	Ministry of Defence	Microphone array-based direction of arrival for gunshot detection	Software	SIH1651	0	Miscellaneous

64	Ministry of Defence	Extraction and Verification of Information from semi-categorised data.	Software	SIH1652	0	Smart Automation

65	Ministry of Defence	Web based Selector-Applicant Simulation Software	Software	SIH1653	0	Smart Automation

66	Ministry of Defence	Determining expert relevance with respect to interview board subject and candidates’ area of expertise	Software	SIH1654	0	Smart Automation

67	Ministry of Earth Sciences	Detecting oil spills at marine environment using Automatic Identification System (AIS) and satellite datasets	Software	SIH1655	0	Smart Automation

68	Ministry of Earth Sciences	Development of a mobile application to provide recreational suitability information of beach locations across India.	Software	SIH1656	0	Travel & Tourism

69	Ministry of Earth Sciences	Integrated Geo-Referenced Fish Catch Data Repository and Access System	Software	SIH1657	0	Smart Automation

70	Ministry of Earth Sciences	Development of a versatile and fast algorithm for the optimal ship routing	Software	SIH1658	0	Transportation & Logistics

71	Ministry of Earth Sciences	Data download Duplication Alert System (DDAS)	Software	SIH1659	0	Miscellaneous

72	Ministry of Earth Sciences	Interactive gamified approach to Ocean Literacy	Software	SIH1660	0	Smart Automation

73	Ministry of Education	Implement Software Solutions to Reduce Student Dropout Rates at Various Educational Stages	Software	SIH1661	0	Smart Education

74	Ministry of Education	Develop Software Solutions to Enhance Educational Infrastructure and Connectivity in Rural Areas	Software	SIH1664	0	Miscellaneous

75	Ministry of Education	Develop Effective Career Counselling and Guidance Programs in Schools to Enhance Student Career Choices	Software	SIH1666	0	Smart Education

76	Ministry of Education	Integrate Industry-Relevant Vocational Training into Elementary and Secondary Education Curriculum	Software	SIH1667	0	Smart Education

77	Ministry of Electronics and Information Technology	Creating an application to identify the presence of government issued personally identifiable information (PII) embedded in documents and data, inadvertently or otherwise.	Software	SIH1668	0	Blockchain & Cybersecurity

78	Ministry of Electronics and Information Technology	Transformo Docs Application: Empowering Machine-Readable Document Management System.	Software	SIH1669	0	Smart Automation

79	Ministry of Electronics and Information Technology	Develop a functional solution that incorporates the security of the ML model.	Software	SIH1670	0	Smart Automation

80	Ministry of Electronics and Information Technology	Develop a functional solution that demonstrates the face liveness detection	Software	SIH1671	0	Smart Automation

81	Ministry of Electronics and Information Technology	Develop a ML Model based solution to refine CAPTCHA.	Software	SIH1672	0	Smart Automation

82	Ministry of Fisheries, Animal Husbandry and Dairying	Farmers Disease Diagnostic/Reporting Portal - Mobile Portal Al Based	Software	SIH1673	3	Agriculture, FoodTech & Rural Development

83	Narcotics Control Bureau (NCB)	Software solutions to identify users behind Telegram, WhatsApp and Instagram based drug trafficking.	Software	SIH1674	0	Blockchain & Cybersecurity

84	Narcotics Control Bureau (NCB)	Software solution to identify the end receiver of a cryptocurrency transaction	Software	SIH1675	0	Blockchain & Cybersecurity

85	National Technical Research Organisation (NTRO)	Web-scrapping tool to be developed to search and report Critical and High Severity Vulnerabilities of OEM equipment (IT and OT) published at respective OEM websites and other relevant web platforms.	Software	SIH1676	0	Blockchain & Cybersecurity

86	National Technical Research Organisation (NTRO)	Developing a tool to provide for real time feeds of cyber incident pertaining to Indian Cyber Space.	Software	SIH1677	0	Blockchain & Cybersecurity

87	National Technical Research Organisation (NTRO)	RE-DACT	Software	SIH1678	0	Blockchain & Cybersecurity

88	National Technical Research Organisation (NTRO)	Development of Audit script for Windows 11 and Linux OS as per CIS (Centre for Internet Security) bench mark	Software	SIH1679	0	Blockchain & Cybersecurity

89	National Technical Research Organisation (NTRO)	Few Shot Language Agnostic Key Word Spotting system (FSLAKWS) for audio files.	Software	SIH1680	0	Smart Automation

90	National Technical Research Organisation (NTRO)	Identification of algorithm from the given dataset using AI/ML Techniques.	Software	SIH1681	0	Blockchain & Cybersecurity

91	National Technical Research Organisation (NTRO)	Centralized Automated Solution for Price Estimation & Reasonability.	Software	SIH1682	0	Smart Automation

92	National Technical Research Organisation (NTRO)	Development of AI/ML based solution for detection of face-swap based deep fake videos	Software	SIH1683	0	Miscellaneous

93	National Technical Research Organisation (NTRO)	Agent-less Windows System Vulnerability and Network Scanner	Software	SIH1684	0	Blockchain & Cybersecurity

94	National Technical Research Organisation (NTRO)	Building Offline Parallel AV Pipeline to cater multiple AVs for CII entities.	Software	SIH1685	0	Smart Automation

95	National Technical Research Organisation (NTRO)	Tools and techniques for customisation of GPO as per CIS guidelines to deploy on offline / standalone windows.	Software	SIH1686	0	Smart Automation

96	Ministry of Home Affairs, The National Disaster Response Force (NDRF)	Real-Time Disaster Information Aggregation Software	Software	SIH1687	0	Disaster Management

97	Ministry of Jal Shakti	Development of handheld device/Mobile based Operation & Maintenance tool for asset & consumables inventories and finance management in context of drinking water supply scheme.	Software	SIH1688	0	Smart Automation

98	Ministry of Jal Shakti	Use of Digital Technology to calculate Water Footprints for different Agricultural Products	Software	SIH1689	0	Clean & Green Technology

99	Ministry of Jal Shakti	Use of Digital Knowledge Sharing Platform like Wikis on sharing of water efficient techniques and methods for minimizing water scarcity.	Software	SIH1690	0	Clean & Green Technology

100	Ministry of Jal Shakti	Adaption of 'Existing Command Area in Response to Shifting of Agricultural Practices	Software	SIH1691	0	Miscellaneous
